Account Name,Account Type,Request Type,Status,Request Received Date,Row Type,Start Date/Time,End Date/Time,Nights/Days,Meal Plan,Total Rooms,Total Room Nights,Total Cost,Number of Guests,Package Plan,Meeting Room Name,Event Start Date,Event End Date
Al-Ula Guide,Travel Agency,Group Accommodation,Actual,10/29/2025,Accommodation,10/30/2025,10/31/2025,1,Bed & Breakfast,3,3,3984.75,,,,,
Beijing XINYA international Culture Tourism,Travel Agency,Series Group,Actual,11/9/2025,Series Entry 1,11/14/2025,11/16/2025,2,,2,4,6952.04,,,,,
Beijing XINYA international Culture Tourism,Travel Agency,Series Group,Actual,11/9/2025,Series Entry 2,11/14/2025,11/15/2025,1,,1,1,900,,,,,
Ban Saudi Tourism,Travel Agency,Event Only,Actual,11/9/2025,Event,11/16/2025,11/16/2025,1,,,,16721,33,Coffee Break and lunch,HEGRA,11/16/2025,11/16/2025
Ban Saudi Tourism,Travel Agency,Event Only,Actual,11/9/2025,Event,11/17/2025,11/17/2025,1,,,,16721,33,Coffee Break and lunch,HEGRA,11/17/2025,11/17/2025
Ban Saudi Tourism,Travel Agency,Event Only,Actual,11/9/2025,Event,11/18/2025,11/18/2025,1,,,,16721,33,Coffee Break and lunch,HEGRA,11/18/2025,11/18/2025
Ban Saudi Tourism,Travel Agency,Event Only,Actual,11/9/2025,Event,11/19/2025,11/19/2025,1,,,,16721,33,Coffee Break and lunch,HEGRA,11/19/2025,11/19/2025
Ban Saudi Tourism,Travel Agency,Event Only,Actual,11/9/2025,Event,11/20/2025,11/20/2025,1,,,,16721,33,Coffee Break and lunch,HEGRA,11/20/2025,11/20/2025
G-Tour,Travel Agency,Group Accommodation,Actual,11/16/2025,Accommodation,11/28/2025,11/29/2025,1,Bed & Breakfast,10,10,20980.3,,,,,
Al-Ula Club,Company,Group Accommodation,Actual,11/16/2025,Accommodation,11/17/2025,11/18/2025,1,Bed & Breakfast,13,13,34311.08,,,,,
Al-Ula Guide,Travel Agency,Event Only,Actual,11/12/2025,Event,12/6/2025,12/6/2025,1,,,,7532.5,13,Coffee Break and lunch,DADAN,12/6/2025,12/6/2025
Al-Ula Guide,Travel Agency,Event Only,Actual,11/12/2025,Event,12/7/2025,12/7/2025,1,,,,7532.5,13,Coffee Break and lunch,DADAN,12/7/2025,12/7/2025
ALBORAQ,Travel Agency,Series Group,Actual,11/21/2025,Series Entry 1,11/21/2025,11/23/2025,2,,1,2,3622.5,,,,,
ALBORAQ,Travel Agency,Series Group,Actual,11/21/2025,Series Entry 2,11/23/2025,11/26/2025,3,,1,3,5868.45,,,,,
ALBORAQ,Travel Agency,Series Group,Actual,11/21/2025,Series Entry 3,1/2/2026,1/3/2026,1,,2,2,2656.5,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 1,11/14/2025,11/16/2025,2,,3,6,19264.44,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 2,11/14/2025,11/16/2025,2,,3,6,19416.6,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 3,12/1/2025,12/2/2025,1,,1,1,2122.18,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 4,12/1/2025,12/2/2025,1,,1,1,2483.83,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 5,12/29/2025,12/30/2025,1,,4,4,4413.56,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 6,12/29/2025,12/30/2025,1,,2,2,2399.98,,,,,
Promo Travel,Travel Agency,Series Group,Actual,11/14/2025,Series Entry 7,12/29/2025,12/30/2025,1,,1,1,2484.43,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 1,8/8/2025,8/9/2025,1,,1,1,784.39,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 2,8/10/2025,8/14/2025,4,,1,4,3168.48,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 3,8/14/2025,8/16/2025,2,,1,2,840.42,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 4,9/17/2025,9/20/2025,3,,1,3,3332.7,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 5,9/21/2025,9/22/2025,1,,1,1,1104.1,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 6,9/21/2025,9/25/2025,4,,1,4,3728.76,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 7,9/23/2025,9/26/2025,3,,1,3,4506.39,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 8,9/23/2025,9/27/2025,4,,1,4,4826.12,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 9,9/25/2025,9/27/2025,2,,2,4,4965.24,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 10,9/26/2025,9/27/2025,1,,1,1,1349.92,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 11,10/5/2025,10/8/2025,3,,1,3,5796,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 12,10/10/2025,10/11/2025,1,,1,1,1302.65,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 13,10/17/2025,10/18/2025,1,,3,3,3100.86,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 14,10/22/2025,10/24/2025,2,,1,2,2416.2,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 15,10/29/2025,10/31/2025,2,,1,2,4318.8,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 16,11/10/2025,11/12/2025,2,,1,2,4134.48,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 17,11/16/2025,11/17/2025,1,,1,1,1849.89,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 18,11/16/2025,11/20/2025,4,,1,4,8307.6,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 19,11/20/2025,11/22/2025,2,,1,2,6221.04,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 20,11/21/2025,11/22/2025,1,,1,1,1917.21,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 21,11/23/2025,11/25/2025,2,,1,2,4968.86,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 22,11/27/2025,11/28/2025,1,,1,1,2295.4,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 23,11/28/2025,12/1/2025,3,,1,3,5969.88,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 24,12/3/2025,12/5/2025,2,,1,2,5392.56,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 25,12/5/2025,12/6/2025,1,,1,1,2110.71,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 26,12/5/2025,12/7/2025,2,,1,2,4221.42,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 27,12/11/2025,12/12/2025,1,,1,1,2295.4,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 28,12/11/2025,12/13/2025,2,,1,2,4221.42,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 29,12/11/2025,12/13/2025,2,,1,2,4422.72,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 30,12/11/2025,12/13/2025,2,,1,2,6394.92,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 31,12/12/2025,12/13/2025,1,,2,2,4733.4,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 32,12/13/2025,12/14/2025,1,,1,1,2559.9,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 33,12/17/2025,12/20/2025,3,,1,3,11302.2,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 34,12/22/2025,12/25/2025,3,,1,3,6332.13,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 35,12/23/2025,12/24/2025,1,,1,1,2149.35,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 36,12/24/2025,12/26/2025,2,,1,2,5197.08,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 37,12/24/2025,12/27/2025,3,,1,3,7882.56,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 38,12/25/2025,12/28/2025,3,,1,3,8194.38,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 39,12/26/2025,12/27/2025,1,,1,1,2746.39,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 40,12/28/2025,12/29/2025,1,,1,1,2675.82,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 41,12/30/2025,12/31/2025,1,,1,1,2110.71,,,,,
Al-Mosafer - Discover Saudi,Travel Agency,Series Group,Actual,8/8/2025,Series Entry 42,12/30/2025,12/31/2025,1,,1,1,2295.4,,,,,
Asrar AlUla Tour Operator,Travel Agency,Event Only,Actual,10/26/2025,Event,11/19/2025,11/19/2025,1,,,,16905,60,,AL JADIDA,11/19/2025,11/19/2025
Asrar AlUla Tour Operator,Travel Agency,Event Only,Actual,10/26/2025,Event,11/19/2025,11/19/2025,1,,,,0,0,,DADAN,11/19/2025,11/19/2025
